"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","3601W","War and Empire: Asian American Perspectives","Twin Cities","This course examines the reach of war and empire in Asian America since the turn of the twentieth century. Starting with US wars in the Philippines (1898-1910) and the formation of the colonial state, the course will track the ascendancy of US empire in Asia and paths toward wars against imperialist Japan (1941-1945), in Korea (1950-53), and in Vietnam (1955-1975). The course will address the relevance of the unending Global War on Terrorism (2001-) in contemporary Asian America. Together, the course explores how these wars have shaped and continue to inform the lives and memories of Asian immigrants and refugees, their children, and other Asian Americans.","3","3","No","1","3","OPT - Student Option","-","Periodic Spring"
"AFRO","1009","History of Women in Africa: 1500 to the Present","Twin Cities","This course examines the histories of women on African frontiers. The course will highlight the role of women in their relation with family, with other African/nonAfrican peoples, as well as the role of women of the border regions of Sahel-Savanna, SavannaForest, within the country of Morocco, and along the Indian Ocean-Swahili Coast and Atlantic Coast frontiers. AFRO 1009 will compare the roles of African women from specific regions to others in different times and places in Africa, as well as with their contemporaries in Asia, Europe, and the Americas. We will consider the ways in which the women under scrutiny played a critical role in the dynamic changes that transformed their worlds and the worlds around
them. Indeed, the historical lens that informs and underpins this course is premised on the understanding that people make change and that change does not just happen in and of itself. In recognizing the process of change over time, AFRO 1009 emphasizes the significance of social
and cultural context in shaping the extent and nature of women’s participation in these processes. Therefore, the course will seek to understand the cultural beliefs and the rich ethnic, economic, religious networks, which buttressed the women’s roles and examine their associated factors. In
addition to stressing the importance of change over time, AFRO 1009 engages students in a reflection of the past in an attempt to understand those reflections within the continuum of past, present, and future. Accordingly, AFRO 1009 impels us to think about the long term effects of
any change, however slight or insignificant it may seem.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AFRO","1012","Black Worlds in Global Perspective: Challenges and Changes","Twin Cities","Our primary goal is to generate and develop analytical perspectives to deepen the understandings of the experiences of Africans and peoples of African descent in global terms, so as to establish connections across different histories, cultures, and political dynamics of “Black worlds,” all the while making gaps
and tensions. Searchingly looking for ways to reconnect with Africa and myriad communities of the African diaspora in the United States, the Caribbean, and Europe, this course encourages students to grapple with the challenges and possibilities emerging out the dynamic processes of the dispersal of Africans and their descendants throughout the New World. We are also equally interested in nurturing a sense of solidarity among Black peoples of the New World, Europe, and Africa, including a pan-Africanist vision. To this end, throughout, we will pay close attention to racism, both locally and globally, and how this “problem of the color line,” as W. E. B. Du Bois famously put it, is tightly bound up with the capitalist system of economic exploitation, or the capitalist empire, and the mechanisms of political domination
connected to the historical development and legacies of New World slavery, imperialism, and
colonialism. From this grounding, we will also investigate stories of struggle and resistance, how diverse constituents of social movements in the Black worlds continue to pursue the possibility of another world, then and now.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"AFRO","1021","Introduction to Africa","Twin Cities","Through a close engagement with selected oral, visual, audio-visual, and written sources, this course interrogates the representation of Africa as a failed and passive site, hopelessly mired in poverty and ill-equipped to face the challenges of the 21st century. Using the lens of gender as a critical category, the course specifically considers the ways in which African women have distinguished themselves in the areas of politics, the economy, culture, education, and other fields. The historical lens that informs and underpins this course is premised on the understanding that people make change, and that change does not just happen in and of itself. In recognizing the process of change over time, AFRO 1021 demonstrates that African women have played a pivotal role in the dynamic changes that have transformed the continent and its diverse societies. More importantly, African women have always defined and carried out their own struggles, always been on the frontline of agitating for socio-economic and political reforms, and always played critical leadership roles in their families, communities, and civil society. In addition to stressing the importance of change over time, AFRO 1021 engages students in a reflection of the past to understand those reflections within the continuum of past, present, and future.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"AFRO","1023W","Introduction to African World Literature","Twin Cities","Childhood is a time of intense growth and dramatic change; of rapid physical, mental and emotional development. It is a time of discovering, experiencing, exploring; of exuberant curiosity and creativity. It is a state characterized by play and activity, innocence and wonder, surprise and delight. But childhood can also be a time of great confusion and uncertainty; of doubt, turmoil and anxiety. Through select pieces of short fiction, prose, essays and cinematic works, we will analyze the popularity of the coming–of–age genre (or bildungsroman) as a primary mode of formative response within the African world literary tradition. We will consider how the autobiographical or semi-autobiographical story, told by a narrator who is growing up and becoming conscious of their body, their familial and wider social surroundings, their emotions, their very identity, dramatizes the cultural, political, and historical contexts in which it is set. Through our exploration of socialization as a thematic component of the bildungsroman, we will examine how “coming-of-age” comes to represent something very different for boys and for girls.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall & Spring"
"AFRO","3002","West African History: 1800 to Present","Twin Cities","West African history from late 18th century to present. Past/profound changes including new 19th century state formation, European colonialism, post-colonial issues.","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"AFRO","3009","History of Women in Africa: 1500 to Present","Twin Cities","Through a close engagement with selected oral, visual, audio-visual, and written sources, this course examines the histories of women in Africa. The course will highlight the role of women in their relationship with family and with other African and non-African peoples. AFRO 3009 will compare the roles of African women from specific regions to others in different times and places in Africa, as well as with their contemporaries in other parts of the world. We will consider the ways in which the women under scrutiny played a critical role in the dynamic changes that transformed their worlds and the worlds around them. Indeed, the historical lens that informs and underpins this course is premised on the understanding that people make change, and that change does not just happen in and of itself. In recognizing the process of change over time, AFRO 3009 emphasizes the significance of social and cultural contexts in shaping the extent and nature of women's participation in these processes. Therefore, the course will seek to understand the cultural beliefs and the rich ethnic, economic, religious networks, which buttressed the women's roles and examine their associated factors. In addition to stressing the importance of change over time, AFRO 3009 engages students in a reflection of the past to understand those reflections within the continuum of past, present, and future. Accordingly, AFRO 3009 impels us to think about the long-term effects of any change, however slight or insignificant it may seem.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"AFRO","3016","Africa and African Diaspora Archaeology","Twin Cities","Africa and African Diaspora Archaeology (AFRO/ ANTH 3016/5016) examines the evolution of human behavior in Africa and looks at subsequent social, cultural, and technological developments as shown in archaeological records including artifacts, ecofacts, rock art, and structures at archaeological sites. It also discusses methods used to identify archaeological records and how these records can be used to reconstruct past ways of life. Students will obtain hand-on-experience in identifying, classifying, and interpreting archaeological objects. The course covers Africa from around 2.6 million years ago to the recent past, focusing primarily on the last 10,000 years. It examines the development and spread of food production, pottery, metallurgy, trade, and African connections with the Atlantic world dating back to the fifteenth century. 
","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AFRO","3103","World History and Africa","Twin Cities","This course is an interdisciplinary survey of the history of the African continent. It examines the social, cultural, economic and political transformations that shaped varied African communities from prehistory to the present. Focusing primarily on the intricate intersection of culture, society, economics, and politics, the course examines the concept of “world history” and Africa’s location in the production of this history as theoretical and analytical lenses. It puts particular emphasis on the social, cultural and political developments that informed individual and collective experiences of various African peoples and societies, including the historical narratives and scholarly discourses associated with them.

","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall, Spring & Summer"
"AFRO","3120","Social and Intellectual Movements in the African Diaspora","Twin Cities","Political, cultural, historical linkages between Africans, African-Americans, African-Caribbean. Black socio-political movements/radical intellectual trends in late 19th/20th centuries. Colonialism/racism. Protest organizations, radical movements in United States/Europe.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall"
