"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","3862","American Immigration History","Twin Cities","The United States has frequently been called a “nation of immigrants,” yet despite this celebratory view of the U.S.’s immigrant origins, present-day immigration often provokes fear, anxiety, and resistance. Indeed, immigrants have rarely been truly welcomed in any historical era. This course will examine the history of immigration to, and migration within, the United States from the colonial era to the present, including forced migrations, such as the African slave trade.

We will consider the full range of the migration experience, including what compelled or inspired people to leave their homelands, the means of their migration, and how they settled in their new homes. In addition, we will look at the cultural transformations precipitated by immigration including the creation of ethnic identities, assimilation, and transculturation. Various forms of nativist sentiment and practice will be addressed, as well as migrant and ethnic resistance to nativism, racism, and exploitation.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3875W","Comparative Race and Ethnicity in U.S. History","Twin Cities","This writing-intensive course examines the racial history of modern America. The focus is placed on how American Indians, African Americans, and immigrants from Europe, Asia, and Latin America struggle over identity, place, and meanings of these categories in society where racial hierarchy not only determined every aspect of how they lived, but also functioned as a lever to reconstitute a new nation and empire in the aftermath of the Civil War. We are interested in studying how these diverse groups experienced racialization not in the same way but in various and distinct ways in relation to each other.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall & Spring"
"AAS","3877","Asian American History, 1850 to Present","Twin Cities","Asian American history and contemporary issues, from 1850 to present. Immigration, labor, anti-Asian movements, women/families, impact of World War Two, new immigrant/refugee communities, civil rights, Asian American identity/culture.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"AFRO","3016","Africa and African Diaspora Archaeology","Twin Cities","Africa and African Diaspora Archaeology (AFRO/ ANTH 3016/5016) examines the evolution of human behavior in Africa and looks at subsequent social, cultural, and technological developments as shown in archaeological records including artifacts, ecofacts, rock art, and structures at archaeological sites. It also discusses methods used to identify archaeological records and how these records can be used to reconstruct past ways of life. Students will obtain hand-on-experience in identifying, classifying, and interpreting archaeological objects. The course covers Africa from around 2.6 million years ago to the recent past, focusing primarily on the last 10,000 years. It examines the development and spread of food production, pottery, metallurgy, trade, and African connections with the Atlantic world dating back to the fifteenth century. 
","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AFRO","3103","World History and Africa","Twin Cities","This course is an interdisciplinary survey of the history of the African continent. It examines the social, cultural, economic and political transformations that shaped varied African communities from prehistory to the present. Focusing primarily on the intricate intersection of culture, society, economics, and politics, the course examines the concept of “world history” and Africa’s location in the production of this history as theoretical and analytical lenses. It puts particular emphasis on the social, cultural and political developments that informed individual and collective experiences of various African peoples and societies, including the historical narratives and scholarly discourses associated with them.

","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall, Spring & Summer"
"AFRO","3120","Social and Intellectual Movements in the African Diaspora","Twin Cities","Political, cultural, historical linkages between Africans, African-Americans, African-Caribbean. Black socio-political movements/radical intellectual trends in late 19th/20th centuries. Colonialism/racism. Protest organizations, radical movements in United States/Europe.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall"
"AFRO","3205","History of South Africa from 1910: Anti-Racism, Youth Politics, Pandemics & Gender (Based Violence)","Twin Cities","We are all living in extraordinary times. But what does that mean? In South Africa, we have seen the COVID-19 pandemic and the measures implemented to control it causing massive social upheaval and personal distress. It has forced the people in the country to confront issues that life prior to the pandemic had made easy to turn away from. Misogyny, gender based violence, and sexual violence, a long-standing emergency in the south of Africa, have been forced into our vision once again. It was not the pandemic that created this violence. Nor was it the first time people had been outraged by a lack of action to address it. In the years approaching 2020, calls, protests and demonstrations were increasingly demanding the culture of impunity in gender based violence be ended; sometime with violent outcomes against the protestors themselves. Over those same years, nationwide protests have rocked South Africa's university campuses. The student movements known as #RhodesMustFall, #FeesMustFall and #RUReferenceList highlight the contrasts and disappointments of the recent past in South Africa, confront the legacy of racism and misogyny in its institutions and knowledge systems, and resonate with a history of anti-racism and struggle that now, in turn, similarly fuel the on-going Black Lives Matter and #MeToo movements worldwide.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall"
"AFRO","3431","Early Africa and Its Global Connections","Twin Cities","This course offers a general, introductory survey of African history from the earliest times to around 1860. You need have no prior knowledge of the subject, just interest and enthusiasm. We will explore Africa’s rich and diverse pre-colonial past, paying particular attention to material and social change and the ways in which both ruling elites and “ordinary” men and women—farmers, herders, traders, slaves—helped to shape their worlds.

Given the vast chronological and geographic scope of the continent, our coverage will necessarily be selective. Rather than attempting to cover everything, the course highlights major themes and case studies that illuminate broader patterns and transformations. Topics include climate and environment, migration and settlement, material culture, state formation, trade networks, slavery and the slave trade, and the spread and influence of Islam and Christianity.

Students will also be introduced to the methods historians use to reconstruct Africa’s early past, including oral traditions, archaeology, linguistics, and anthropology. By the end of the course, students will have developed a strong methodological and historiographical foundation for understanding African history and situating specific events and processes within larger regional and global contexts","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AFRO","3432","Modern Africa in a Changing World","Twin Cities","Socioeconomic, political, and cultural development in Africa, from abolition of trans-Atlantic slave trade through postcolonial era.","3","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"AFRO","3434","Images of Africa","Twin Cities","Major themes in African history, from early human development to present.  History of western ""knowledge"" about Africa. Assumptions that have influenced production of African history. Extent to which African history is ""packaged"" for public consumption inside/outside Africa. How history is used to support modern political agendas.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
