"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","3303W","Writing Differences: Literature by U.S. Women of Color","Twin Cities","Interpret/analyze poetry, fiction, drama of U.S. women minority writers. Relationship of writer's history, ethnicity, race, class, gender to her writings.","3","3","No","1","3","OPT - Student Option","-","Fall Odd Year"
"AAS","4311","Asian American Literature and Drama","Twin Cities","Literary/dramatic works by Asian American writers. Historical past of Asian America through perspective of writers such as Sui Sin Far and Carlos Bulosan. Contemporary artists such as Frank Chin, Maxine Hong Kingston, David Henry Hwang, and Han Ong. Political/historical background of Asian American artists, their aesthetic choices.","3","3","No","1","3","AFV - A-F or Audit","-","Fall Odd Year"
"AFRO","1023W","Introduction to African World Literature","Twin Cities","Childhood is a time of intense growth and dramatic change; of rapid physical, mental and emotional development. It is a time of discovering, experiencing, exploring; of exuberant curiosity and creativity. It is a state characterized by play and activity, innocence and wonder, surprise and delight. But childhood can also be a time of great confusion and uncertainty; of doubt, turmoil and anxiety. Through select pieces of short fiction, prose, essays and cinematic works, we will analyze the popularity of the coming–of–age genre (or bildungsroman) as a primary mode of formative response within the African world literary tradition. We will consider how the autobiographical or semi-autobiographical story, told by a narrator who is growing up and becoming conscious of their body, their familial and wider social surroundings, their emotions, their very identity, dramatizes the cultural, political, and historical contexts in which it is set. Through our exploration of socialization as a thematic component of the bildungsroman, we will examine how “coming-of-age” comes to represent something very different for boys and for girls.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall & Spring"
"AFRO","3592W","Introduction to Black Women Writers in the United States","Twin Cities","From Harriet Jacobs’s depictions of her life in bondage in Incidents in the Life of a Slave Girl to Audre Lorde’s moving essays on feminism and social (in)justice to Beyonce’s visual album Lemonade, black women’s writing has much to tell us about the meaning of survival and the myriad ways that race, class, gender, and other modalities of difference intersect in the national imaginary. In this course, we will use black women’s various forms of writing about themselves—from memoirs, autobiographies, and essays to blogs, song lyrics, and documentary films—as the source material for contemplating the sociocultural conditions of black female life in the past and present.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"AFRO","3597W","Introduction to African American Literature and Culture I","Twin Cities","African American oral tradition, slave narrative, autobiography, poetry, essay, fiction, oratory, and drama, from colonial era through Harlem Renaissance.","4","4","No","1","4","OPT - Student Option","-","Every Fall"
"AFRO","3598W","Introduction to African American Literature and Culture II","Twin Cities","African American oral tradition, autobiography, poetry, essay, fiction, oratory, drama. From after Harlem Renaissance to end of 20th century.","4","4","No","1","4","OPT - Student Option","-","Every Spring"
"AFRO","3601W","African Literature","Twin Cities","The globalized present has witnessed increased mobility as economic, political, and social unrest intensify, forcing mass migration of populations across scorching deserts, treacherous mountains and perilous seas. In the United States and in Western Europe specifically, the consequence of this mobility—immigration—remains the single most cross-cutting issue and the most vexed political challenge of the day. Defined as threatening and intrusive, frequently criminalized in discourse and in action, immigrants have become scapegoats for a wide range of problems that bedevil every aspect of life in every country. Blamed for everything from taking jobs from locals to rising crime and the spread of communicable diseases, immigrants have become victims of xenophobic violence and repositories for the routine fear-mongering prevalent in post-9/11 global terror and counter-terror climate. This course addresses the keys issues that arise in contemporary immigration and global security debates. Throughout the course of the semester, we will interrogate the literary and audio-visual arts as a mirror of the times, reflecting socio-political conditions. In a bid to place the current “crisis” in a historical perspective, we will examine select works by African writers, filmmakers and artists, which provide examples that enable us to move beyond stereotypes and common assumptions.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall, Spring & Summer"
"AFRO","3625W","Women Writers of Africa and the African Diaspora","Twin Cities","Works of black women writers from Europe, Africa, South America, and the Caribbean. Novels, drama, films, and essays.","3","3","No","1","3","A-F - A-F Grade Basis","-","Spring Even Year"
"AMES","1201","Arrow, Fist, and Sword: Conceptions of the Hero in Asian Cultures","Twin Cities","Concepts of the ""hero"" in Persian, Indian Chinese, Korean, and Japanese cultures: How did various societies in these countries define the ethos of the ""hero"" and his relationship to the community? How did versions of the hero change over time, and how was the hero redefined in the context of modern nationalism? What part have traditional gender roles played in defining the hero and is a ""female"" hero possible within these traditions? And how has popular film allowed modern Asian societies to reinterpret their traditional conceptions of the hero? Specific explorations: the Persian hero Rostam in The Book of Kings; Rama and retellings of the Indian Ramayana; Mulan and the Chinese female warrior; the Korean hero Hong Gildong; and the Japanese story of the forty-seven ronin.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","1836","Modern Middle Eastern Literature","Twin Cities","This course introduces students to the diversity of contemporary Middle Eastern cultures, identities, and histories through readings in modern literature. Reading novels, stories, poetry, and memoirs translated from Arabic, Hebrew, Persian, and Turkish, we will follow a number of key concerns shaping Middle Eastern cultural production: legacies of colonialism and the manner they shaped the relationship between classical and modern literary forms, the ethical and aesthetic challenges of bearing testimony to violence, and the manner literature reflects and subverts racial hierarchies, ethnic divisions, and gender dynamics. These themes will be debated in a range of spaces and contexts: the desert, the city, and the ocean as quintessential environments in times of great social and ecological upheavals; migration flows and refugee identities; the alternating banality and grotesqueness of war; and the formation of intimate, personal relationships. ","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
