"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","1101","Imagining Asian America","Twin Cities","What are the histories, cultures, and experiences of Asian Americans, the fastest-growing group in the United States? How do they fit into the U.S.'s history of immigration, race, and citizenship? Is the ""model minority"" myth really true? This course is an introduction to Asian American Studies, an interdisciplinary field that uses ethnography, literature, histories, films, memoirs, and other texts to study how the history of Asian immigration to the United States has visibly shaped existing Asian American communities and identities, and how ""Asian America"" is central to a more general understanding of American popular culture and public life.

The course is roughly organized chronologically. We will first begin with an introduction to the field of Asian American Studies by asking the questions: What is Asian America? What is Asian American Studies? We will then examine important concepts, categories, and processes before exploring the rich history of Asian migration to the United States and contemporary issues facing Asian Americans today. 

One of the core principles of this course is to encourage active and interdisciplinary learning. This means that we will be learning in a variety of ways to explore and understand the material (reading, writing, watching, listening, seeing, discussing, presenting). We will be drawing from a wide range of disciplines (history, law, sociology, education, cultural studies, psychology, etc.). And we will be using a variety of materials (memoir, scholarly articles, historical documents, government records, newspapers, films, photographs, popular culture, etc.) Your active participation in these activities is essential.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AAS","1201","Racial Formation and Transformation in the United States","Twin Cities","What does it take to discuss race seriously? An exploration of this question demands a counter-narrative, for our contemporary moment is such that a growing public opinion (1) casts America as a “raceless nation,” (2) interprets antiracism as “reverse racism,” and (3) embraces “diversity” to maintain the racial status quo. As a class, we will explore what it means to treat race as a social construct and also a central organizing principle shaping patterns of power and inequality. Talking about race is not easy to be sure; it engenders a host of unsettling emotions ranging from guilt and shame to anger. Yet not talking about race as a social fact in American life and culture merely reinforces the existing racial hierarchy. It forecloses opportunities to reach across boundaries of social difference to strive toward a shared sense of community and belonging. Together, we will participate in racial struggles, albeit at times painful and challenging, to address and grapple with ethical-political imperatives to pursue social justice and make the notion of diversity anew. Together we will reckon with the role of institutions in conditioning the material realities of racialized groups, while also recognizing the capacity of racialized groups to resist regimes of racial power.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AAS","3001","Contemporary Perspectives on Asian America","Twin Cities","Interdisciplinary overview of Asian American identities. Post-1965 migration/community. History, cultural productions, and concerns of Americans of Chinese, Japanese, Korean, South Asian, Filipino, and Southeast Asian ancestry.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AAS","3211W","Race & Racism in the U.S.","Twin Cities","We live in a society steeped in racial understandings that are often invisible—some that are hard to see, and others that we work hard not to see.  This course will focus on race relations in today's society with a historical overview of the experiences of various racial and ethnic groups in order to help explain their present-day social status. This course is designed to help students begin to develop their own informed perspectives on American racial “problems” by introducing them to the ways that sociologists deal with race, ethnicity, race relations and racism.  We will expand our understanding of racial and ethnic dynamics by exploring the experiences of specific groups in the U.S. and how race/ethnicity intersects with sources of stratification such as class, nationality, and gender.  The course will conclude by re-considering ideas about assimilation, pluralism, and multiculturalism.  Throughout, our goal will be to consider race both as a source of identity and social differentiation as well as a system of privilege, power and inequality affecting everyone in the society albeit in different ways. ","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"AAS","3251W","Sociological Perspectives on Race, Class, and Gender","Twin Cities","In the midst of social unrest, it is important for us to understand social inequality. In this course we will analyze the impact of three major forms of inequality in the United States: race, class, and gender. Through taking an intersectional approach at these topics, we will examine the ways these social forces work institutionally, conceptually, and in terms of our everyday realities. We will focus on these inequalities as intertwined and deeply embedded in the history of the country. Along with race, class, and gender we will focus on other axes of inequality including sexuality, citizenship, and dis/ability. We will analyze the meanings and values attached to these social categories, and the ways in which these social constructions help rationalize, justify, and reproduce social inequality.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall, Spring & Summer"
"AAS","3301","Asian America Through Arts and Culture","Twin Cities","Americans of Asian descent comprise one of the fastest-growing racial groups in the U.S. today. While large numbers of Asian Americans have been in the U.S. since the middle of the nineteenth century, it is only in the past few decades that they have been widely recognized in art, culture, and media. This course focuses on how writing, art, performance, film, and/or other works of culture registers the experiences of Asian Americans past and present. How do individual artists or writers depict themselves and others as part of families, communities, or nations? How do questions of race, racism, family, identity, immigration, labor, citizenship, inequality, gender, sexuality, media stereotypes, and activism affect the perspectives and the creative choices in these works?","3","3","No","1","3","OPT - Student Option","-","Spring Even Year"
"AAS","3303W","Writing Differences: Literature by U.S. Women of Color","Twin Cities","Interpret/analyze poetry, fiction, drama of U.S. women minority writers. Relationship of writer's history, ethnicity, race, class, gender to her writings.","3","3","No","1","3","OPT - Student Option","-","Fall Odd Year"
"AAS","3341","Asian American Images","Twin Cities","From 19th-century anti-Chinese political cartoons to Harold and Kumar, visual representations of Asians in the United States have long influenced how Asian Americans are seen and treated. What are some of the ways that photography, graphic arts, and digital culture have pictured Asian Americans as aliens, citizens, immigrants, workers, family and community members, entertainers, and artists? Course topics will relate visual images to particular historical moments, including the early exclusion period and the ""yellow peril"" stereotype; WWII Japanese American incarceration and the drawings of Miné Okubo, and photo-journalism documenting U.S. military involvement in Southeast Asia and its aftermath. How do photographic and other images work to counter historical amnesia, heal traumatic loss, and document social injustice? Other weeks of the class will explore the ways that individuals, families, and communities use photographs, video, and other visual media to preserve a sense of connection and belonging. We will also look at how contemporary Asian American photographers such as Tseng Kwong Chi, Nikki Lee, and Wing Young Huie experiment with visual images to raise questions of racial and national identity, social inequality, gender, sexuality, and political agency. The course also includes a digital storytelling project that encourages students to create video images and sound reflecting Asian American immigration stories from local communities.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3351","Asian Americans and Popular Culture","Twin Cities","Over the past few decades, Asian Americans have become increasingly visible both as the subjects and producers of popular culture in the United States. This course will explore how this new recognition of Asian Americans in popular literature, cinema, television, and entertainment is related both to longer histories of Asian immigration and racial exclusion and to post-1960s efforts to forward racial awareness, community activism, and social justice. Our first unit will look at how particular stereotypes such as the yellow peril or the wartime enemy encouraged anti-Asian feeling and violence and legal restrictions on immigration and naturalization. We will then examine how throughout history, Asian immigrants and their descendants used song, dance, theater, writing, and other forms of popular culture to express personal desires and foster collective ties. Our final unit concentrates on contemporary popular culture and its relationship to the changing identities of Asian Americans. How do Asian Americans influence the current essays, films, and videos that are consumed by millions today? How are increasingly pan-ethnic, interracial, multiracial, transnational, and global experiences reflected in popular culture?","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3409W","Asian American Women's Cultural Production","Twin Cities","This course explores cultural texts produced by and about Asian American women and queers. It wrestles with the complexities of a historical moment in which Asian American women are both increasingly visible in pop culture and increasingly visible targets of violence. We will push beyond judgments of “positive” or “negative” representations of Asian Americans and instead explore the political dimensions of these cultural representations—that is, how they animate, reference, or repress longer histories of migration, war, labor, and empire. We will approach the categories of both “Asian American” and “women” less as static identities and more as shifting political coalitions that bring together diverse groups of people whose experience of gender, sexuality, race, and class deviates from the norm of white, heterosexual, and cisgender American citizenship. In tracking (and at times celebrating) these deviations, we will ask: how might film, TV, literature, art, and theory help illuminate Asian American feminist politics?","3","3","No","1","3","OPT - Student Option","-","Every Fall"
